ticker,comname,year,ESGCombinedScore,EnvironmentPillarScore,SocialPillarScore,GovernancePillarScore,ESGCControversiesScore,ESGEmissionsScore,ESGWorkforceScore,ESGHumanRightsScore,ESGCommunityScore,ESGManagementScore,ESGShareholdersScore,TobaccoProducerFlag,AlcoholProducerFlag,GamblingOperatorOrProducerFlag,MilitaryWeaponsOrPersonnelFlag,NuclearWeaponsFlag,ThermalCoalProducerFlag,OilAndGasProducerFlag,OilAndGasProcessingTransportationDistributionFlag
DGX,QUEST DIAGNOSTICS INCORPORATED,2022,67.72807469,70.80955517000001,82.50692338,48.45271602,100.0,66.79104478,81.79347826,46.0,98.64130435,43.73092926,46.53259362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DGX,QUEST DIAGNOSTICS INCORPORATED,2023,65.59338206000001,67.20378151,79.15885408,48.50961591,75.75757576,68.92857142999999,74.16666667,41.15044248,97.5,43.63048369,48.15804274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DGX,QUEST DIAGNOSTICS INCORPORATED,2024,71.98897089,64.59783209,79.67449004,66.46191732999999,82.92682927,65.84507042,76.81564246,40.51724138,96.9273743,68.52573018,55.4798331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHI,"D.R. HORTON, INC.",2020,42.95185987,39.96538473,23.50846416,77.29559748,100.0,35.49618321,27.622377619999998,0.0,61.88811189,94.74393531000001,70.66486972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHI,"D.R. HORTON, INC.",2021,41.785643369999995,17.2406382,37.17400928,80.9190435,100.0,23.958333330000002,26.6025641,43.032786890000004,59.93589744,91.74589455,98.77556899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHI,"D.R. HORTON, INC.",2022,47.886951509999996,34.57060678,39.08643977,78.98566805,100.0,22.39263804,42.73255814,36.231884060000006,61.04651163,88.80721221,98.90429958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHI,"D.R. HORTON, INC.",2023,47.78108148,29.28898642,46.182736479999996,74.32487888,100.0,42.30769231,38.0,45.91836735,86.0,74.56411699,99.1704162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHI,"D.R. HORTON, INC.",2024,46.684480709999995,35.48619503,47.00205904,60.744712729999996,75.0,55.98802395,50.862068969999996,40.604026850000004,83.62068966,53.89429764,99.2906815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHI,"D.R. HORTON, INC.",2025,44.6264903,34.92972952,44.658678019999996,57.181851910000006,77.08333333,54.90797546,41.96428571,39.65517241,84.22619048,48.67424242,99.28613053999999,,,,,,,,
DHR,DANAHER CORPORATION,2020,80.66769552000001,65.50788955,88.71867227,77.14181891,100.0,68.33333333,92.16027875,92.33128834,85.19163762999999,79.26025756,60.84156933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHR,DANAHER CORPORATION,2021,79.51734548,68.08813076999999,88.42499476,73.12257412,100.0,70.0,91.80064309,91.66666667,84.40514469,73.39383463,61.00547393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHR,DANAHER CORPORATION,2022,78.24513946,71.04191181,89.94731373,66.19878290999999,100.0,78.74493927,87.64880952,91.47465438,93.89880952,62.26074896,60.374479889999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHR,DANAHER CORPORATION,2023,53.77288381,72.25140056000001,87.82773071,75.24089988,26.851851850000003,86.47058824,82.68072289,90.57017544,91.71686747,75.74521935,60.981439820000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHR,DANAHER CORPORATION,2024,80.76875654999999,67.62604836,85.27504907,80.96873520999999,85.36585366,80.2734375,73.10030395,89.87068966,90.72948328,81.71070931999999,69.88873435000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIS,D'Amico International Shipping SA,2021,36.28583494,21.18264014,41.87838425,45.95238095,100.0,30.0,77.68817204,2.12765957,50.537634409999995,67.85714286,3.57142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIS,D'Amico International Shipping SA,2022,37.98420524,32.34178014,40.32875895,41.232558139999995,100.0,38.52459016,82.0855615,1.3513513499999998,41.97860963,59.30232558,3.48837209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DIS,D'Amico International Shipping SA,2023,33.21494852,28.3353065,41.87226375,26.595238100000003,100.0,27.348066300000003,77.15053763,11.78343949,39.784946240000004,32.14285714,8.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DIS,D'Amico International Shipping SA,2024,33.91769954,27.75706357,40.51694671,31.7195122,100.0,27.247191009999998,75.0,12.974683540000001,36.81318681,30.487804880000002,37.80487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DIS,THE WALT DISNEY COMPANY,2020,42.91254309,57.76544622000001,88.87081548,69.08475591,8.33333333,74.34782609,79.72972973,81.46067416,98.64864865,75.1572327,48.23300389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIS,THE WALT DISNEY COMPANY,2021,43.23983699,57.57243196,85.28724486,55.526362090000006,15.909090910000002,75.36764706,79.54545455,66.35514019,98.23232322999999,56.88562374,41.35695765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIS,THE WALT DISNEY COMPANY,2022,42.14239373,58.40038314,86.03359745,50.284235460000005,15.2173913,76.38888888999999,80.3030303,67.32283464999999,98.05194805000001,46.088765599999995,51.55339806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIS,THE WALT DISNEY COMPANY,2023,34.44164007,53.15934066,84.43107128,50.421627629999996,1.2195121999999998,64.28571429,81.52173913,59.489051090000004,97.60869565,44.55849269,48.07367829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIS,THE WALT DISNEY COMPANY,2024,80.36643131,52.859620809999996,83.03235967,86.02522913,83.0,63.43283582,79.16666667,57.432432430000006,97.14912281,85.54937413,89.74965229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DIS,THE WALT DISNEY COMPANY,2025,34.298277649999996,52.47520237,83.03154403,52.14512215,1.06382979,63.520408159999995,77.60180995,58.39160839,97.05882353,45.70221445,53.27797203,,,,,,,,
DLR,"DIGITAL REALTY TRUST, INC.",2020,71.02363767,75.59684718,60.22987121,75.82237396,100.0,56.191950459999994,68.09392265000001,55.882352940000004,66.43646409,74.28870919,75.12728362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,"DIGITAL REALTY TRUST, INC.",2021,72.40724245999999,77.66362107,54.56303707,83.02852691,100.0,63.52112676,69.60526315999999,50.62761506,50.657894739999996,83.36214347,73.99884759000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,"DIGITAL REALTY TRUST, INC.",2022,68.68769596,75.91276057,58.51202036000001,69.81228268000001,100.0,60.36585366,71.88235294,36.034482759999996,63.647058820000005,64.53536755,70.85991677999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,"DIGITAL REALTY TRUST, INC.",2023,70.52639829,67.73623741,55.77130873,87.63497562,100.0,44.647201949999996,63.62559242,63.06451613,60.071090049999995,91.40888638999999,70.73959505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,"DIGITAL REALTY TRUST, INC.",2024,66.07215403,65.10647700999999,54.04667515,78.48936572000001,100.0,40.69212411,62.17798595,59.69230769,57.96252927,81.73852573,57.39916551,,,,,,,,
DLTR,"DOLLAR TREE, INC.",2020,55.57522580999999,49.840390750000005,67.02729366,48.838857940000004,85.71428571,14.66666667,61.23595506,82.14285714,60.6741573,37.36148547,94.83378257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLTR,"DOLLAR TREE, INC.",2021,52.70960997,55.14077426,62.60165904,48.31849069,50.0,38.888888890000004,46.27659574,82.05128205,54.78723404,37.179487179999995,93.21521175000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLTR,"DOLLAR TREE, INC.",2022,62.38404899,59.14839141,67.66848877,59.786413790000005,76.92307692,51.07526882,60.5,74.43181818,62.5,54.66019417,92.44105409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLTR,"DOLLAR TREE, INC.",2023,60.008741750000006,51.93947691,75.17325482,51.50060236,82.0,38.17204301,88.5,69.23076922999999,67.5,39.27165354,92.73059618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLTR,"DOLLAR TREE, INC.",2024,44.27838946,53.07565789,73.57479432000001,77.7196445,19.6969697,47.89473684,67.5257732,65.2173913,79.3814433,78.12239221,93.78303199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLTR,"DOLLAR TREE, INC.",2025,40.85575302,53.39838698,72.90380172,75.85903423,13.636363639999999,47.2826087,67.93478261,62.5,78.26086957,75.39335664,94.18706294,,,,,,,,
DOV,DOVALUE S.P.A.,2020,47.75813101,27.30185138,62.88887520000001,35.09383974,100.0,83.56766257,90.1744186,34.375,66.45348837,18.28358209,93.65671642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
